sampleID,antigen,FMedianBG_correct,Block,Column,Row
SID_gen20,Buffer_7661,3009,40,5,22
SID_gen20,Buffer_7662,2060,40,6,22
SID_gen20,Buffer_7665,5585,40,1,23
SID_gen20,Buffer_7666,3560,40,2,23
SID_gen20,Buffer_7667,2665,40,3,23
SID_gen20,Buffer_7668,4936,40,4,23
SID_gen20,Buffer_7669,2124,40,5,23
SID_gen20,Buffer_7670,3659,40,6,23
SID_gen20,Buffer_7673,5498,40,1,24
SID_gen20,Buffer_7674,4755,40,2,24
SID_gen20,Buffer_7675,3777,40,3,24
SID_gen20,Buffer_7676,2493,40,4,24
SID_gen20,Buffer_7677,14318,40,5,24
SID_gen20,Buffer_7678,17899,40,6,24
SID_gen21,Buffer_7854,-178,41,6,22
SID_gen21,Buffer_7855,85,41,7,22
SID_gen21,Buffer_7856,-255,41,8,22
SID_gen21,Buffer_7862,-192,41,6,23
SID_gen21,Buffer_7863,-32,41,7,23
SID_gen21,Buffer_7864,-268,41,8,23
SID_gen21,Buffer_7870,-172,41,6,24
SID_gen21,Buffer_7871,1434,41,7,24
SID_gen21,Buffer_7872,-256,41,8,24
SID_gen21,Buffer_8041,-149,42,1,22
SID_gen21,Buffer_8042,-278,42,2,22
SID_gen21,Buffer_8043,-231,42,3,22
SID_gen21,Buffer_8044,-195,42,4,22
SID_gen21,Buffer_8045,128,42,5,22
SID_gen21,Buffer_8046,1752,42,6,22
SID_gen21,Buffer_8049,-180,42,1,23
SID_gen21,Buffer_8050,-219,42,2,23
SID_gen21,Buffer_8051,-199,42,3,23
SID_gen21,Buffer_8052,-230,42,4,23
SID_gen21,Buffer_8053,2301,42,5,23
SID_gen21,Buffer_8054,26254,42,6,23
SID_gen21,Buffer_8057,-122,42,1,24
SID_gen21,Buffer_8058,-256,42,2,24
SID_gen21,Buffer_8059,-168,42,3,24
SID_gen21,Buffer_8060,-196,42,4,24
SID_gen21,Buffer_8061,1325,42,5,24
SID_gen21,Buffer_8062,11322,42,6,24
